,ID#,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,1,4,28143,0,1,1,1,174,1,0,0,7000,0
1,2,4,19244,0,1,1,1,215,2,0,0,6968,0
2,3,4,41354,0,1,1,1,4123,4,0,0,7034,0
3,4,4,14776,0,1,1,1,500,1,0,0,6952,0
4,5,4,97752,0,4,1,1,43300,26,2077,4,6935,1
5,6,4,16420,0,1,1,1,0,0,0,0,6942,0
6,7,4,84914,0,3,1,1,27482,25,0,0,6994,0
7,8,4,20856,0,1,1,1,5250,4,250,1,6938,1
8,9,1,443003,0,3,2,1,1753,43,3850,12,6948,1
9,10,4,104860,0,3,1,1,28426,28,1150,3,6931,1
10,11,4,40091,0,2,1,1,7278,10,0,0,6959,0
11,12,4,96522,0,5,1,1,61105,19,0,0,6924,1
12,13,4,43382,0,2,1,1,11150,20,0,0,6924,0
13,14,4,43097,0,1,1,1,3258,6,0,0,6918,0
14,15,4,17648,0,1,1,1,0,0,0,0,6912,0
15,16,4,28495,0,4,1,1,49442,15,0,0,6912,1
16,17,4,51890,0,4,1,1,48963,16,0,0,6910,1
17,18,4,13958,0,1,1,1,4291,5,0,0,6905,1
18,19,4,91473,0,3,1,1,27408,17,0,0,6903,1
19,20,4,23354,0,3,1,1,10447,5,0,0,6896,1
20,21,4,120576,0,5,1,1,58831,23,250,2,6896,1
21,22,1,185681,2024,1,1,1,13300,16,1800,9,6896,1
22,23,4,20584,0,1,1,1,3450,11,3450,11,6884,0
23,24,4,66275,0,1,1,1,2533,11,150,1,6884,0
24,25,1,205651,500,1,1,1,4025,21,700,4,7932,0
25,26,4,20726,0,1,1,1,1375,4,0,0,7924,0
26,27,4,18521,0,1,1,1,1227,2,1227,2,7917,0
27,28,4,8828,0,1,1,1,0,0,0,0,7914,0
28,29,4,59763,0,3,1,1,33772,20,100,1,7907,1
29,30,4,19221,0,1,1,1,4655,8,500,1,7896,1
30,31,1,177926,0,3,1,1,20797,13,0,0,7886,0
31,32,4,10021,0,1,1,1,0,0,0,0,7879,0
32,33,1,276571,0,4,1,1,42044,23,0,0,7872,0
33,34,4,18047,0,1,1,1,100,1,0,0,7868,0
34,35,4,43832,0,1,1,1,0,0,0,0,7865,0
35,36,4,123759,0,4,1,1,50572,23,2500,5,7865,1
36,37,4,23193,0,1,1,1,650,4,550,3,7861,1
37,38,4,68666,0,1,1,1,350,2,350,2,7861,0
38,39,4,59990,0,3,1,1,27878,17,0,0,7854,1
39,40,4,2176,0,1,1,1,0,0,0,0,7847,1
40,41,4,34616,0,1,1,1,1750,4,500,1,7850,0
41,42,4,10470,0,4,1,1,38094,26,0,0,7840,1
42,43,4,60313,0,1,1,1,10000,26,3250,9,7829,1
43,44,3,619393,0,3,1,1,15008,14,0,0,7819,1
44,45,4,121260,0,3,1,1,18493,18,0,0,7808,0
45,46,1,288865,967,1,1,1,23600,14,2000,4,6884,1
46,47,4,92336,0,2,1,1,11214,6,0,0,6884,0
47,48,4,36924,0,1,1,1,5900,6,300,2,6879,1
48,49,4,70312,0,3,1,1,34678,24,500,1,6875,1
49,50,4,17051,0,1,1,1,1150,4,1150,4,6868,0
50,51,4,108137,0,1,1,1,6368,5,6368,5,6844,0
51,52,4,1300,0,1,1,1,370,1,0,0,6868,0
52,53,4,118531,0,4,1,1,44577,38,0,0,6868,1
53,54,4,121395,0,1,1,1,4970,8,650,2,6889,1
54,55,4,38348,0,1,1,1,0,0,0,0,6861,0
55,56,4,14448,0,1,1,1,1625,6,0,0,6856,0
56,57,4,75971,0,4,1,1,34339,14,0,0,6869,0
57,58,4,36298,0,1,1,1,3100,5,600,3,6865,1
58,59,4,38077,0,3,1,1,34024,8,0,0,6837,0
59,60,4,95118,0,3,1,1,23188,23,2200,7,6865,1
60,61,4,134457,0,3,1,1,15588,14,0,0,6861,0
61,62,4,19918,0,1,1,1,17601,11,0,0,6863,0
62,63,4,10120,0,1,1,1,0,0,0,0,6864,0
63,64,1,362642,0,1,1,1,28079,8,0,0,6835,0
64,65,4,80250,0,1,1,1,895,2,0,0,6833,0
65,66,4,53914,0,3,1,1,33767,45,5550,29,6826,1
66,67,4,9375,0,1,1,1,1750,7,0,0,6826,0
67,68,4,83237,0,4,1,1,35287,18,0,0,6837,0
68,69,1,230715,0,3,1,1,24047,12,0,0,6826,1
69,71,4,47457,0,3,1,1,12621,16,0,0,7766,1
70,72,4,84409,5031,2,1,1,15436,16,1150,4,7766,0
71,73,1,252386,0,4,1,1,39787,13,0,0,7787,0
72,74,3,550367,0,3,1,1,12500,13,50,1,7801,0
73,75,4,12646,0,1,1,1,631,4,631,4,7787,0
